SRF034.B,SRF035.B,SRF036.B,SRF037.B,SRF038.B,SRF039.B,SRF061.B,SRF062.B,SRF063.B,SRF064.B,SRF019.B,SRF020.B,SRF021.B,SRF022.B,SRF023.B,SRF024.B,SRF025.B,SRF026.B,SRF027.B,SRF028.B,SRF029.B,SRF030.B,SRF031.B,SRF032.B,SRF033.B,SRF072.B,SRF073.B,SRF065.B,SRF066.B,SRF067.B,SRF068.B,SRF069.B,SRF070.B,SRF071.B,SRF001.B,SRF002.B,SRF003.B,SRF004.B,SRF005.B,SRF006.B,SRF007.B,SRF008.B,SRF009.B,SRF010.B,SRF011.B,SRF012.B,SRF013.B,SRF014.B,SRF015.B,SRF016.B,SRF017.B,SRF018.B,L9,L10,L7,L4
5,5,5,5,4,4,4,1,5,5,5,5,2,6,3,4,5,4,4,3,5,3,4,3,4,45,3,3,6,6,6,5,2,6,5,5,3,4,5,2,4,5,2,4,5,4,5,4,4,4,5,2,-0.06935262800820069,-0.0806926455553288,-0.03760156949880779,-0.03850401451991309
7,7,7,7,7,7,6,1,1,3,3,7,2,7,2,7,7,6,6,1,4,2,4,2,4,50,3,6,5,1,5,6,7,1,6,6,2,6,6,4,6,6,6,1,6,NA,1,5,6,6,6,1,0.05209673866271586,-0.0069752985619238135,0.05166367290594537,-0.02920729415913868
5,4,7,4,5,4,5,7,5,7,5,5,4,4,3,5,5,3,3,3,5,3,5,5,3,50,4,4,7,5,4,5,3,3,6,4,4,6,5,5,3,2,3,4,5,4,3,3,4,4,4,4,-0.1816914780765433,-0.023408365236724103,-0.1002662145559848,-0.03643408158585072
5,5,5,5,5,5,6,5,1,3,5,5,2,2,3,6,4,1,3,2,4,3,3,3,3,50,3,4,5,5,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,4,3,4,4,5,5,3,-0.2985127892765746,-0.08317046038823404,-0.12429612546843553,-0.11678255822798292
5,5,7,4,5,5,5,7,6,7,5,5,3,4,4,5,5,2,4,3,5,3,5,3,3,69,4,7,7,7,7,7,7,1,1,4,3,3,4,4,4,4,5,5,5,5,5,5,3,6,6,6,-0.16406899037844994,-0.04168926551200698,-0.07449718835391606,-0.04367978360851364
7,7,7,NA,NA,NA,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,100,7,1,NA,1,1,1,1,1,6,6,6,1,1,1,6,1,1,6,1,6,5,6,1,1,6,6,0.43479945206533577,0.17336042013395367,0.21751706429107026,0.17246377250990796
7,7,7,7,7,7,1,7,1,7,2,2,1,1,1,7,1,1,1,2,7,5,7,4,5,30,2,1,7,7,7,7,7,1,2,4,1,3,6,6,4,6,2,2,6,1,1,4,5,6,6,1,-0.37952727244977913,-0.11103820017060526,-0.20412430623349548,-0.07788044573934358
7,7,7,7,7,7,7,1,1,4,7,4,7,7,4,7,7,6,7,5,7,7,7,1,6,60,7,2,1,1,1,1,7,7,6,5,6,6,4,1,6,2,4,6,5,4,5,5,4,1,6,1,0.30052003590348575,0.00666376241669369,0.3059043077190386,0.040564286554646514
6,5,7,4,6,6,7,1,2,4,6,6,5,6,7,6,6,1,6,4,6,6,7,7,5,50,5,5,7,4,5,4,3,4,6,5,4,4,5,5,6,1,1,4,5,6,6,5,1,1,4,3,-0.009701257184963027,0.03191166984646703,0.006953723142461211,0.01857805335927378
7,7,7,7,7,7,7,7,1,7,7,1,4,4,6,4,4,2,7,7,4,7,4,5,6,85,4,1,7,7,7,7,7,1,6,6,1,1,6,6,1,6,6,1,6,6,6,6,6,1,6,1,-0.14135231603147386,-0.03427353544327415,-0.21234389543535254,0.02113253088127732
7,7,6,6,7,5,4,3,2,6,4,6,6,7,5,7,6,4,5,7,7,6,6,7,5,NA,5,1,3,1,1,1,7,2,6,6,5,6,4,3,5,1,1,3,4,5,6,4,2,3,3,2,0.22258308158703607,0.08207303079187919,0.1550031357277418,0.05872614713060571
7,6,6,6,6,7,7,4,2,7,5,5,5,6,3,5,5,5,6,4,6,4,5,3,5,NA,4,2,2,6,3,3,5,6,2,4,3,5,4,2,4,3,2,4,4,5,4,5,1,5,2,3,0.050527459075457436,-0.018132085731106855,0.05303324225522412,-0.004322819213238589
7,7,7,7,7,7,7,4,4,7,5,5,4,4,4,5,4,3,4,2,4,4,4,4,4,30,4,4,7,6,6,4,4,4,6,4,3,5,6,4,4,4,4,3,5,4,4,4,4,5,5,3,-0.13058153307450998,-0.004580841409257583,-0.050105470294510776,-0.020733265266103175
7,7,7,7,7,7,3,2,3,5,5,4,3,4,2,7,5,3,4,4,5,1,1,1,3,30,3,7,7,7,6,4,7,6,6,4,4,6,6,6,4,1,6,3,5,3,2,6,6,6,6,4,-0.24014965505436708,-0.0643459322167815,-0.05511820976884896,-0.07704405359325353
5,4,7,4,6,6,7,6,2,4,1,4,6,6,4,3,5,3,3,1,3,1,1,2,5,75,3,7,6,6,7,6,6,6,3,4,1,4,2,5,5,4,4,4,5,4,4,2,3,4,4,5,-0.1597106405311123,-0.08077884209259248,-0.10310603805145879,-0.040138362738070386
