Alg,sampleSize,numMeasures,AP,AR,AHP,AHR,E,Vars
"Boostrapped HC
(B = 100, R = 5, P = 10)",1e3,10,1,0.968,0.9458889,0.916,9.29796,10
"Boostrapped HC
(B = 100, R = 5, P = 10)",1e3,25,0.9856699,0.99,0.9549126,0.958,41.76468,25
"Boostrapped HC
(B = 100, R = 5, P = 10)",1e3,70,0.9858193,0.995,0.9696623,0.9785714,302.46728,70
"Boostrapped HC
(B = 100, R = 5, P = 10)",300,10,0.9923214,0.943,0.9058452,0.864,4.41088,10
"Boostrapped HC
(B = 100, R = 5, P = 10)",300,25,0.9833333,0.9736,0.9497128,0.9404,17.70984,25
"Boostrapped HC
(B = 100, R = 5, P = 10)",300,70,0.9835372,0.9884286,0.9702419,0.975,149.56732,70
"Boostrapped HC
(B = 100, R = 5, P = 10)",100,10,0.9914199,0.876,0.9142125,0.811,2.95652,10
"Boostrapped HC
(B = 100, R = 5, P = 10)",100,25,0.9864093,0.9056,0.9527074,0.8756,11.24208,25
"HC (R = 5, P = 10)",100,70,0.4157954,0.9842857,0.4012915,0.9494286,0.55388,70
"HC (R = 5, P = 10)",100,10,0.830292,0.958,0.7137704,0.824,0.02936,10
"HC (R = 5, P = 10)",100,25,0.6666616,0.9696,0.6006605,0.8732,0.09288,25
"HC (R = 5, P = 10)",300,25,0.7792005,0.9888,0.7106278,0.9004,0.15148,25
"HC (R = 5, P = 10)",300,10,0.8937725,0.975,0.7519862,0.817,0.04396,10
"HC (R = 5, P = 10)",300,70,0.5807818,0.9954286,0.5585116,0.9568571,0.78608,70
"HC (R = 5, P = 10)",1e3,70,0.7102696,0.997,0.6810838,0.9554286,1.83148,70
"HC (R = 5, P = 10)",1e3,25,0.8764959,0.9948,0.8070785,0.9128,0.3454,25
"HC (R = 5, P = 10)",1e3,10,0.9298445,0.988,0.8244264,0.873,0.09256,10
"FGES, MVPBIC",1e3,10,0.93,0.93,0.81,0.57,0.21,10
"PC-S, FZ(a = .01)",1e3,10,0.99,0.92,0.74,0.46,0.00221,10
"GFCI, FZ(a = .01)
and MVPBIC",1e3,10,0.98,0.9,0.86,0.6,0.2,10
"FGES, MVPBIC",1e3,10,0.93,0.93,0.81,0.57,0.21,10
"PC-S, FZ(a = .01)",1e3,10,0.99,0.92,0.74,0.46,0.00221,10
"GFCI, FZ(a = .01)
and MVPBIC",1e3,10,0.98,0.9,0.86,0.6,0.2,10
"FGES, MVPBIC",1e3,25,0.95,0.96,0.88,0.68,0.98,25
"PC-S, FZ(a = .01)",1e3,25,0.98,0.92,0.74,0.5,0.00847,25
"GFCI, FZ(a = .01)
and MVPBIC",1e3,25,0.99,0.94,0.93,0.68,0.98,25
"FGES, MVPBIC",1e3,70,0.97,0.97,0.93,0.69,4.2,70
"PC-S, FZ(a = .01)",1e3,70,0.97,0.95,0.73,0.53,0.04,70
"GFCI, FZ(a = .01)
and MVPBIC",1e3,70,0.99,0.96,0.97,0.69,4.18,70
"FGES, MVPBIC",100,10,0.94,0.77,0.73,0.35,0.01,10
"PC-S, FZ(a = .01)",100,10,0.98,0.73,0.47,0.19,9.6e-4,10
"GFCI, FZ(a = .01)
and MVPBIC",100,10,0.97,0.75,0.76,0.33,0.00976,10
"FGES, MVPBIC",100,25,0.93,0.77,0.83,0.42,0.04,25
"PC-S, FZ(a = .01)",100,25,0.97,0.71,0.49,0.2,0.00179,25
"GFCI, FZ(a = .01)
and MVPBIC",100,25,0.95,0.74,0.86,0.4,0.04,25
"FGES, MVPBIC",100,70,0.93,0.79,0.85,0.49,0.17,70
"PC-S, FZ(a = .01)",100,70,0.96,0.71,0.47,0.21,0.00406,70
"GFCI, FZ(a = .01)
and MVPBIC",100,70,0.95,0.77,0.88,0.47,0.17,70
"FGES, MVPBIC",300,10,0.94,0.88,0.83,0.49,0.05,10
"PC-S, FZ(a = .01)",300,10,0.98,0.85,0.62,0.35,0.0013,10
"GFCI, FZ(a = .01)
and MVPBIC",300,10,0.97,0.85,0.86,0.49,0.04,10
"FGES, MVPBIC",300,25,0.94,0.89,0.86,0.57,0.18,25
"PC-S, FZ(a = .01)",300,25,0.97,0.86,0.6,0.36,0.00287,25
"GFCI, FZ(a = .01)
and MVPBIC",300,25,0.98,0.87,0.91,0.55,0.18,25
"FGES, MVPBIC",300,70,0.97,0.9,0.93,0.61,0.74,70
"PC-S, FZ(a = .01)",300,70,0.97,0.87,0.6,0.37,0.01,70
"GFCI, FZ(a = .01)
and MVPBIC",300,70,0.99,0.89,0.96,0.61,0.74,70
