Alg,sampleSize,numMeasures,AP,AR,AHP,AHR,E
4,1000,10,1.0000000,0.9680000,0.9458889,0.9160000,9.2979600
4,1000,25,0.9856699,0.9900000,0.9549126,0.9580000,41.7646800
4,1000,70,0.9858193,0.9950000,0.9696623,0.9785714,302.4672800
4,300,10,0.9923214,0.9430000,0.9058452,0.8640000,4.4108800
4,300,25,0.9833333,0.9736000,0.9497128,0.9404000,17.7098400
4,300,70,0.9835372,0.9884286,0.9702419,0.9750000,149.5673200
4,100,10,0.9914199,0.8760000,0.9142125,0.8110000,2.9565200
4,100,25,0.9864093,0.9056000,0.9527074,0.8756000,11.2420800
5,100,70,0.4157954,0.9842857,0.4012915,0.9494286,0.5538800
5,100,10,0.8302920,0.9580000,0.7137704,0.8240000,0.0293600
5,100,25,0.6666616,0.9696000,0.6006605,0.8732000,0.0928800
5,300,25,0.7792005,0.9888000,0.7106278,0.9004000,0.1514800
5,300,10,0.8937725,0.9750000,0.7519862,0.8170000,0.0439600
5,300,70,0.5807818,0.9954286,0.5585116,0.9568571,0.7860800
5,1000,70,0.7102696,0.9970000,0.6810838,0.9554286,1.8314800
5,1000,25,0.8764959,0.9948000,0.8070785,0.9128000,0.3454000
5,1000,10,0.9298445,0.9880000,0.8244264,0.8730000,0.0925600
