Alg,sampleSize,numMeasures,AP,AR,AHP,AHR,SHD,F1All,F1Arrow,F1Adj
1,10000,10,0.95,0.98,0.88,0.64,2.11,0.63,0.73,0.96
2,10000,10,0.98,0.96,0.86,0.6,2.1,0.59,0.7,0.97
3,10000,10,1,0.97,0.94,0.68,3.44,0.68,0.77,0.98
1,10000,100,0.98,1,0.97,0.73,5.38,0.75,0.83,0.99
2,10000,100,0.97,0.99,0.85,0.66,16.61,0.62,0.74,0.98
3,10000,100,1,0.99,0.99,0.74,26.58,0.78,0.84,1
1,10000,30,0.97,0.99,0.94,0.7,3.18,0.71,0.8,0.98
2,10000,30,0.98,0.97,0.85,0.61,5.5,0.58,0.7,0.98
3,10000,30,1,0.99,0.97,0.71,8.99,0.74,0.81,0.99
1,2000,10,0.93,0.95,0.81,0.59,3.46,0.55,0.67,0.94
2,2000,10,0.99,0.93,0.79,0.5,2.94,0.47,0.61,0.95
3,2000,10,0.99,0.92,0.88,0.63,4.23,0.6,0.72,0.96
1,2000,100,0.98,0.99,0.96,0.71,7.82,0.73,0.82,0.98
2,2000,100,0.97,0.97,0.76,0.58,26.75,0.5,0.66,0.97
3,2000,100,1,0.98,0.98,0.71,30.41,0.75,0.83,0.99
1,2000,30,0.96,0.98,0.92,0.7,4.4,0.69,0.79,0.97
2,2000,30,0.98,0.94,0.78,0.53,8.95,0.48,0.63,0.96
3,2000,30,0.99,0.96,0.95,0.69,10.32,0.7,0.8,0.98
1,500,10,0.94,0.91,0.8,0.53,3.96,0.48,0.62,0.92
2,500,10,0.99,0.9,0.68,0.43,4.11,0.37,0.53,0.94
3,500,10,0.98,0.89,0.85,0.55,5.16,0.52,0.66,0.93
1,500,100,0.98,0.93,0.96,0.66,18.43,0.65,0.78,0.96
2,500,100,0.96,0.92,0.62,0.43,44.78,0.33,0.51,0.94
3,500,100,0.99,0.92,0.97,0.65,42.07,0.66,0.78,0.96
1,500,30,0.95,0.92,0.88,0.62,9.05,0.58,0.72,0.93
2,500,30,0.98,0.9,0.68,0.44,12.69,0.36,0.53,0.94
3,500,30,0.99,0.9,0.93,0.62,14.41,0.6,0.74,0.94
